OBAT,OTOPAIN EAR DROPS 8 ML,,,,,,,1-0999,,,,,,,,,,,88572,67100
OBAT,OTTOPAN DROPS 15ML,,,,,,,1-1000,,,,,,,,,,,36300,27500
OBAT,OTTOPAN SYR,,,,,,,1-1001,,,,,,,,,,,24684,18700
OBAT,OXOFERIN SOL 30 ML,,,,,,,1-1002,,,,,,,,,,,101640,77000
OBAT,OZEN 10 MG TABLET,,,,,,,1-1003,,,,,,,,,,,6692.4,5200
OBAT,OZEN DROP 12 ML,,,,,,,1-1004,,,,,,,,,,,78649.56,59583
OBAT,OZEN SYRUP 60 ML,,,,,,,1-1005,,,,,,,,,,,70567.2,53460
OBAT,PAMOL DROPS,,,,,,,1-1006,,,,,,,,,,,47916,36300
OBAT,PAMOL SYRUP,,,,,,,1-1007,,,,,,,,,,,22738.32,17226
OBAT,PAN-ENTERAL FOIL,,,,,,,1-1008,,,,,,,,,,,17563.92,13306
OBAT,PANTOPUMP INJEKSI 40 MG,,,,,,,1-1009,,,,,,,,,,,145200,110000
OBAT,PANZOL INJEKSI,,,,,,,1-1010,,,,,,,,,,,200085.6,151580
OBAT,PAPAVERIN TABLET,,,,,,,1-1011,,,,,,,,,,,264,200
OBAT,PARASETAMOL 500 MG TABLET (STRIP),,,,,,,1-1012,,,,,,,,,,,259,184.25
OBAT,PARASETAMOL INFUS,,,,,,,1-1013,,,,,,,,,,,29040,67100
OBAT,PARASETAMOL SYRUP,,,,,,,1-1014,,,,,,,,,,,4620,3500
OBAT,"PARLODEL TABLET 2,5 MG",,,,,,,1-1015,,,,,,,,,,,22711.92,17206
ALAT KESEHATAN,PASTIK,,,,,,,1-1016,,,,,,,,,,,517.44,392
OBAT,PEDIAGROW SYRUP,,,,,,,1-1017,,,,,,,,,,,60984,46200
OBAT,PEDIALYTE 500 ML,,,,,,,1-1018,,,,,,,,,,,39468,29900
OBAT,PEDIMIN DROPS,,,,,,,1-1019,,,,,,,,,,,33715.44,25542
OBAT,PEHACAIN INJEKSI,,,,,,,1-1020,,,,,,,,,,,4109.23,3113.05
OBAT,PERDERM KRIM 5 G,,,,,,,1-1021,,,,,,,,,,,48048,36400
OBAT,PERHYDROL 100 ML,,,,,,,1-1022,,,,,,,,,,,5808,17500
OBAT,PERVITA KAPLET,,,,,,,1-1023,,,,,,,,,,,1741.08,1319
OBAT,PETHIDIN INJEKSI,,,,,,,1-1024,,,,,,,,,,,25714.92,19481
OBAT,PGB 75 MG,,,,,,,1-1025,,,,,,,,,,,11979,9075
OBAT,PHAROLIT SITRAS SACHET,,,,,,,1-1026,,,,,,,,,,,1790.8,1356.67
ALAT KESEHATAN,PHENITOIN KAPSUL,,,,,,,1-1027,,,,,,,,,,,798.6,605
